slug,title,film_sim,pc1,pc2
fujifilm-x100v-x-trans-iv-film-simulation-recipe-vintage-color,Vintage Color,Eterna,-0.73844629406157,1.7740650699885812
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-vintage-color-v2,Vintage Color v2,Classic Negative,-1.733622769943683,1.7679477632101583
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vintage-analog,Vintage Analog,Classic Negative,0.5768927271153372,3.2143467438267126
vintage-print-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Vintage Print,Classic Negative,-2.5992198543790517,1.0583234551654692
fujifilm-x-trans-iv-film-simulation-recipe-vintage-vibes,Vintage Vibes,Classic Negative,-1.2100142831869896,-0.7778626978303068
fujifilm-x100v-x-trans-iv-film-simulation-recipe-timeless-negative,Timeless Negative,Eterna,0.9431418205229097,-1.0733856992171704
eterna-summer-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Eterna Summer,Eterna,0.12857682221373007,-0.5959246707119726
fujifilm-x-trans-iv-film-simulation-recipe-eterna-v2,Eterna v2,Eterna,-0.2551993127526437,-0.49386062355990706
vintage-eterna-fujifilm-x-trans-v-x-trans-iv-x-h1-film-simulation-recipes,Vintage Eterna,Eterna,0.713339979004977,0.1701646464747458
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-arizona-analog,Arizona Analog,Eterna,-1.41876238528639,-0.36187951857572803
1960-chrome-fujifilm-x-t5-x-trans-v-x-e4-x-trans-iv-film-simulation-recipe,1960 Chrome,Eterna Bleach Bypass,-1.6432458417238014,-0.9104151705840193
1981-kodak-fujifilm-x100v-x-trans-iv-film-simulation-recipe,1981 Kodak,Eterna,-1.0912861758929817,-0.44596804385811906
fujifilm-x100v-film-simulation-recipe-fujicolor-reala-100,Fujicolor Reala 100,Classic Negative,-0.9291210753147194,0.10473426336946398
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-100,Fujicolor Superia 100,Classic Negative,-0.12068601388152478,-0.24541802942167432
fujifilm-x100v-film-simulation-recipe-superia-xtra-400,Superia Xtra 400,Classic Negative,-0.5869418702108354,-0.9079300821102022
fujifilm-x100v-film-simulation-recipe-superia-premium-400,Superia Premium 400,Classic Negative,-0.24395922802505943,-1.1224582354254233
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-800,Fujicolor Superia 800,Classic Negative,-2.0838076824514684,0.4532291157364894
fujifilm-x100v-film-simulation-recipe-fujicolor-superia-1600,Fujicolor Superia 1600,Classic Negative,-2.0309326239483343,1.1987408889938695
fujifilm-x-e4-film-simulation-recipe-fujicolor-natura-1600,Fujicolor Natura 1600,Classic Negative,-2.622055301316949,0.9520857891651104
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-scanned-superia,Scanned Superia,Classic Negative,1.3934908563628805,0.3557894459843775
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-superia-summer,Superia Summer,Classic Negative,-0.7539930596197101,-1.5784783025419218
fujifilm-x100v-x-trans-iv-film-simulation-recipe-pulled-fujicolor-superia,Pulled Fujicolor Superia,Classic Negative,0.5429113843070738,0.05078925255066138
fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-film-simulation-recipe-fujicolor-nps-160-pulled,Fujicolor NPS 160 Pulled,Classic Negative,-1.0017446494521394,-0.17748652126033881
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-100-gold,Fujicolor 100 Gold,Classic Negative,-0.9046471942961637,-1.519414493304835
magenta-negative-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Magenta Negative,Classic Negative,-2.563031071702354,0.4427867529395426
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-c200,Fujicolor C200,Classic Negative,-0.6398298657662707,-0.5703628500578819
fujicolor-c200-v2-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Fujicolor C200 v2,Classic Negative,0.7613977776821048,0.7616885977417498
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-pro-400h,Fujicolor Pro 400H,Classic Negative,-1.3815321125373605,-0.792906340947827
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-nph,Fujicolor NPH,Provia,-0.17823633346224152,0.40758635896958023
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-negative,Fujicolor Negative,Classic Negative,-1.5297502457970422,-0.322103328478277
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-analog,Fujicolor Analog,Classic Negative,-0.15936782603518154,1.8621768368754135
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-part-1-of-3,Fujicolor Super HG,Classic Negative,-0.5500842215865098,-0.1595455715922824
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-v2-part-2-of-3,Fujicolor Super HG v2,Classic Negative,0.3565680587806865,0.1536449717301454
fujifilm-x-trans-iv-film-simulation-recipe-super-hg-astia-part-3-of-3,Super HG Astia,Astia,1.3470663562496754,-0.46604891474157967
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-standard-provia,Standard Provia,Provia,0.6084277743418098,0.2541859575132229
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujichrome-provia-100f,Fujichrome Provia 100F,Classic Chrome,0.14929927793058043,0.5184745620395497
fujifilm-x100v-film-simulation-recipe-color-negative-400,Color Negative 400,Classic Negative,-0.6089965053963001,-0.41343807237335906
pro-negative-160c-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v,PRO Negative 160C,PRO Neg,0.09979098590445366,-0.9270487615970272
fujifilm-x-trans-iv-film-simulation-recipe-agfachrome-rs-100,AgfaChrome RS 100,Classic Negative,-0.7753108786462236,1.4256181116801705
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-agfa-ultra-100,Agfa Ultra 100,Classic Negative,-0.5794598603821359,1.0520577707496188
fujifilm-x100v-film-simulation-recipe-agfa-vista-100,Agfa Vista 100,Classic Negative,1.4553988128738473,0.019091422735978684
not-my-fujifilm-x100v-classic-negative-film-simulation-recipe,Classic Negative,Classic Negative,1.2666176821487056,-0.7292563154497429
snow-fun-with-fujifilm-x-t4-fujinon-90mm-new-film-simulation-recipe-amandas-classic-negative,Amanda’s Classic Negative,Classic Negative,2.0698544623893187,-0.12244701963775508
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold,Retro Gold,Classic Chrome,0.7831380675491659,-1.28649227732505
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold-low-contrast,Retro Gold Low Contrast,Classic Chrome,-0.27684502495939345,-1.9678155621554163
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-santacolor,SantaColor,Eterna,0.19622194931736148,-1.4955264500845256
fujifilm-x-trans-iv-film-simulation-recipe-creamy-color,Creamy Color,Classic Negative,-2.155891905392882,3.7581212061663574
fujifilm-x100v-film-simulation-recipe-nature-neon,Nature Neon,Classic Chrome,-0.6282804815558385,-1.5860078895810867
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-grizzly-ride,Grizzly Ride,Eterna Bleach Bypass,-2.7422123698491685,1.1485260697087716
fujifilm-x-e4-film-simulation-recipe-analog-gold,Analog Gold,Eterna Bleach Bypass,-1.7039251881552746,-1.7760069807341425
getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes,Indoor Angouleme,Classic Chrome,-0.9422629620214966,-2.8148500218214427
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-gaf-500,GAF 500,Eterna,-1.011377153608309,-1.1052189105275674
fujifilm-x-trans-iv-film-simulation-recipe-low-key,Low Key,Classic Negative,0.9883284151248745,-0.33011421200225993
fujifilm-x100v-film-simulation-recipe-the-rockwell-velvia,The Rockwell,Velvia,3.4248195329644875,-0.8385206874158094
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vibrant-velvia,Vibrant Velvia,Velvia,1.317162259114837,-0.49876016555089403
fujifilm-x100v-film-simulation-recipe-bleach-bypass,“Bleach Bypass”,Classic Negative,0.8694512765387817,2.200657689198917
eterna-bleach-bypass-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Eterna Bleach Bypass,Eterna Bleach Bypass,1.1667767792351436,0.6228189325977009
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-muted-color,Muted Color,Eterna Bleach Bypass,-0.4990529005769804,-0.9365955791272015
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-ferrania-solaris-fg-400,Ferrania Solaris FG 400,Eterna Bleach Bypass,-1.2100142831869896,-0.7778626978303068
fujifilm-x-trans-iv-film-simulation-recipe-lomochrome-metropolis,LomoChrome Metropolis,Eterna Bleach Bypass,0.8628695128768318,0.28637302603005654
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-silver-summer,Silver Summer,Eterna Bleach Bypass,-1.3650828407625697,-0.3527528207207294
kodachrome-blue-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodachrome Blue,Eterna Bleach Bypass,3.2758233867183115,2.0625905578026877
fujifilm-x-e4-film-simulation-recipe-ektachrome-320t,Ektachrome 320T,Eterna Bleach Bypass,-0.49742115706228385,0.12920703380784695
expired-ecn-2-100t-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Expired ECN-2 100T,Eterna Bleach Bypass,-2.4329451855122817,1.0615952562746023
fujifilm-x100v-film-simulation-recipe-faded-negative,Faded Negative,Classic Negative,-0.5986057582422811,0.26964448171979755
fujifilm-x-trans-iv-film-simulation-recipe-cinestill-50d,CineStill 50D,Astia,0.11398505128332263,0.7479413657798264
kodak-portra-do-sol-fujifilm-x-trans-iv-film-simulation-recipe,Kodak Portra do Sol,Classic Chrome,0.08075116409361824,-2.2196020114978308
fujifilm-x-trans-iv-film-simulation-recipe-bright-kodak,Bright Kodak,Classic Chrome,-1.9781056485371202,-1.5418181774413993
fujifilm-x100v-film-simulation-recipe-preet,Bright Summer,Classic Chrome,0.25803854972100176,-0.8372933603203172
expired-velvia-fujifilm-x-trans-iv-x-pro3-x100v-x-t4-x-s10-x-e4-x-t30-ii-film-simulation-recipe,Expired Velvia,Classic Negative,0.24188147156837966,1.0042825458669558
two-fujifilm-x-trans-iv-film-simulation-recipes-expired-slide-expired-slide-v2,Expired Slide &,Velvia,-2.024166868775429,0.7899526854614015
redscale-fujifilm-x-trans-iv-v-film-simulation-recipe,RedScale,Classic Negative,-0.6629080810093239,-3.734674069469627
fujifilm-x100v-x-trans-iv-film-simulation-recipe-xpro-62,Xpro ’62,Classic Negative,-2.427150521540565,0.3552292317873919
bewaremyvelvia-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,BewareMyVelvia,Velvia,2.3263592511392366,1.3798787427484862
my-fujifilm-x100v-cine-teal-film-simulation-recipe,Cine Teal,Eterna,-1.737502763300667,-0.7011988559009121
fujifilm-x100v-film-simulation-recipe-cinestill-800t,CineStill 800T,Eterna,-2.4835880600624636,0.3088769054163457
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pushed-cinestill-800t,Pushed CineStill 800T,Eterna Bleach Bypass,-0.9260459270805796,2.5948898930158886
fujifilm-x100v-x-pro3-film-simulation-recipe-pushed-cinestill,Pushed CineStill 800T (X100V + X-Pro3),Eterna,-0.5188258087801834,3.9477582725329987
fujifilm-x-trans-iv-film-simulation-recipe-serrs-500t,Serr’s 500T,Classic Chrome,-1.0550860617806557,1.7692871216333097
kodak-plus-x-125-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Plus-X 125,Acros,1.1982324687636312,0.11566863910656452
fujifilm-x100v-film-simulation-recipe-kodak-tri-x-400,Kodak Tri-X 400,Acros,1.0440316152740583,-1.5540009458227295
kodak-t-max-p3200-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,Kodak T-Max P3200,Acros,1.2998029958735093,0.48878574921511736
fujifilm-x100v-film-simulation-recipe-kodak-t-max-400,Kodak T-Max 400,Monochrome,1.8525978794555606,-1.9389894080473926
fujifilm-x100v-film-simulation-recipe-bw-superia,B&W Superia,Acros,-1.064983213363857,0.40697691794322255
fujifilm-x100v-film-simulation-recipe-classic-monochrome,Classic Monochrome,Monochrome,3.493689031892355,0.7288325738633675
fujifilm-x100v-x-trans-iii-x-trans-iv-film-simulation-recipe-monochrome-negative,Monochrome Negative,Acros,0.46804878054462906,0.16160385253321186
kentmere-pan-400-fujifilm-x100v-x-trans-iv-v-film-simulation-recipe,Kentmere Pan 400,Acros,1.896751649095001,0.12888701895294596
fujifilm-x-trans-iv-film-simulation-recipe-ilford-hp5-plus-400,Ilford HP5 Plus 400,Monochrome,-1.223368391364012,-1.0497606452748007
fujifilm-x100v-film-simulation-recipe-ilford-pan-f-plus-50,Ilford Pan F Plus 50,Monochrome,1.6023823850399825,-0.8924110773226139
