slug,title,film_sim,subcluster,subcluster_label
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-pushed-cinestill-800t,Pushed CineStill 800T,Eterna Bleach Bypass,0,Eterna Bleach Bypass#0
fujifilm-x100v-x-pro3-film-simulation-recipe-pushed-cinestill,Pushed CineStill 800T (X100V + X-Pro3),Eterna,1,Eterna#1
fujifilm-x-trans-iv-film-simulation-recipe-serrs-500t,Serr’s 500T,Classic Chrome,1,Classic Chrome#1
kodak-plus-x-125-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Kodak Plus-X 125,Acros,0,Acros#0
fujifilm-x100v-film-simulation-recipe-kodak-tri-x-400,Kodak Tri-X 400,Acros,0,Acros#0
kodak-t-max-p3200-a-fujifilm-film-simulation-recipe-for-x-trans-iv-v,Kodak T-Max P3200,Acros,0,Acros#0
fujifilm-x100v-film-simulation-recipe-kodak-t-max-400,Kodak T-Max 400,Monochrome,-1,
fujifilm-x100v-film-simulation-recipe-bw-superia,B&W Superia,Acros,1,Acros#1
fujifilm-x100v-film-simulation-recipe-classic-monochrome,Classic Monochrome,Monochrome,-1,
fujifilm-x100v-x-trans-iii-x-trans-iv-film-simulation-recipe-monochrome-negative,Monochrome Negative,Acros,1,Acros#1
kentmere-pan-400-fujifilm-x100v-x-trans-iv-v-film-simulation-recipe,Kentmere Pan 400,Acros,0,Acros#0
fujifilm-x-trans-iv-film-simulation-recipe-ilford-hp5-plus-400,Ilford HP5 Plus 400,Monochrome,-1,
fujifilm-x100v-film-simulation-recipe-ilford-pan-f-plus-50,Ilford Pan F Plus 50,Monochrome,-1,
fujifilm-x100v-film-simulation-recipe-ilford-ortho-plus-80,Ilford Ortho Plus 80,Monochrome,-1,
fujifilm-x-trans-iv-film-simulation-recipe-moody-monochrome,Moody Monochrome,Acros,1,Acros#1
fujifilm-x100v-film-simulation-recipe-black-white-infrared,Black & White Infrared,Acros,0,Acros#0
sepia-the-forgotten-film-simulation,Sepia,,-1,
my-fujifilm-x-t30-kodachrome-64-film-simulation-recipe,Kodachrome 64,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-kodak-gold-200-film-simulation-recipe,Kodak Gold 200,Classic Chrome,0,Classic Chrome#0
my-fujifilm-x-t30-kodak-portra-400-film-simulation-recipe,Kodak Portra 400,Classic Chrome,0,Classic Chrome#0
fujifilm-x-t3-x-t30-film-simulation-recipe-kodak-portra-400-v2,Kodak Portra 400 v2,Classic Chrome,0,Classic Chrome#0
my-fujifilm-x-t30-kodak-portra-160-film-simulation-recipe,Kodak Porta 160,Classic Chrome,0,Classic Chrome#0
my-fujifilm-x-t30-kodak-vision3-250d-film-simulation-recipe,Kodak Vision3 250D,Eterna,1,Eterna#1
my-fujifilm-x-t30-eterna-film-simulation-recipe,Eterna,Eterna,0,Eterna#0
my-fujifilm-x-t30-expired-eterna-film-simulation-recipe,Expired Eterna,Eterna,1,Eterna#1
my-fujifilm-x-t30-eterna-low-contrast-film-simulation-recipe,Eterna Low-Contrast,Eterna,1,Eterna#1
fujifilm-x-t30-film-simulation-recipe-eterna-v3,Eterna v3,Eterna,0,Eterna#0
fujifilm-x-t30-x-t3-film-simulation-recipe-cinematic-negative,Cinematic Negative,Eterna,0,Eterna#0
my-fujifilm-x-t30-polaroid-film-simulation-recipe,Polaroid,Eterna,0,Eterna#0
my-fujifilm-x-t30-polaroid-ii-film-simulation-recipe,Polaroid II,Eterna,1,Eterna#1
my-fujifilm-x-t30-analog-color-film-simulation-recipe,Analog Color,PRO Neg,1,PRO Neg#1
my-fujifilm-x-t30-jeff-davenport-night-recipe,Jeff Davenport Night,PRO Neg,0,PRO Neg#0
my-fujifilm-x-t30-faded-color-film-simulation-recipe,Faded Color,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-vintage-color-fade-film-simulation-recipe,Vintage Color Fade,PRO Neg,1,PRO Neg#1
my-fujifilm-x-t30-kodak-elite-chrome-200-color-fade-film-simulation-recipe,Elite Chrome Color Fade,Classic Chrome,3,Classic Chrome#3
fujifilm-x-t3-x-t30-x-h1-film-simulation-recipe-negative-print,Negative Print,Eterna,0,Eterna#0
my-fujifilm-x-t30-color-negative-film-simulation-recipe,Color Negative,PRO Neg,0,PRO Neg#0
pro-neg-fujifilm-x-t3-x-t30-x-trans-iii-film-simulation-recipe,Pro Neg,PRO Neg,0,PRO Neg#0
my-fujifilm-x-t30-provia-film-simulation-recipe-fujichrome-sensia-100,Fujichrome Sensia 100,Provia,-1,
a-different-approach-7-new-fujicolor-pro-160ns-film-simulation-recipes-yes-7,Fujicolor Pro 160NS,PRO Neg,0,PRO Neg#0
7-new-fujicolor-pro-400h-film-simulation-recipes,Fujicolor Pro 400H,PRO Neg,0,PRO Neg#0
my-fujifilm-x-t30-fujicolor-pro-400h-overexposed-film-simulation-recipe,Fujicolor Pro 400H Overexposed,Provia,-1,
not-my-fujifilm-x-t30-warm-contrast-film-simulation-recipe,“Warm Contrast”,PRO Neg,1,PRO Neg#1
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-porto-200,Porto 200,PRO Neg,0,PRO Neg#0
my-fujifilm-bleach-bypass-film-simulation-recipe,“Bleach Bypass”,Classic Chrome,2,Classic Chrome#2
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-eterna-bleach-bypass,“Eterna Bleach Bypass”,PRO Neg,3,PRO Neg#3
fujifilm-x-trans-iii-x-t30-x-t3-film-simulation-recipe-chrome-bypass,Chrome Bypass,PRO Neg,1,PRO Neg#1
my-fujifilm-x-t30-kodacolor-film-simulation-recipe,Kodacolor,Classic Chrome,2,Classic Chrome#2
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-kodacolor-vr,Kodacolor VR,Classic Chrome,2,Classic Chrome#2
fujifilm-x-trans-iii-x-t3-x-t30-film-simulation-recipe-vintage-kodacolor,Vintage Kodacolor,Classic Chrome,2,Classic Chrome#2
my-fujifilm-x-t30-kodacolor-ii-126-film-simulation-recipe,Kodacolor II 126,Classic Chrome,1,Classic Chrome#1
