slug,title,film_sim,x,y
fujicolor-c200-v2-fujifilm-x100v-x-trans-iv-film-simulation-recipe,Fujicolor C200 v2,Classic Negative,1.533429,-5.6032634
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-pro-400h,Fujicolor Pro 400H,Classic Negative,1.2138269,-6.598008
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-nph,Fujicolor NPH,Provia,5.40716,3.0570734
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-negative,Fujicolor Negative,Classic Negative,1.4623106,-6.911547
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujicolor-analog,Fujicolor Analog,Classic Negative,1.6141067,-5.943647
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-part-1-of-3,Fujicolor Super HG,Classic Negative,0.58130646,-6.304634
fujifilm-x-trans-iv-film-simulation-recipe-fujicolor-super-hg-v2-part-2-of-3,Fujicolor Super HG v2,Classic Negative,0.6284738,-5.8091598
fujifilm-x-trans-iv-film-simulation-recipe-super-hg-astia-part-3-of-3,Super HG Astia,Astia,6.142225,5.6618657
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-standard-provia,Standard Provia,Provia,5.3962097,3.048473
fujifilm-x100v-x-trans-iv-film-simulation-recipe-fujichrome-provia-100f,Fujichrome Provia 100F,Classic Chrome,6.566501,6.158667
fujifilm-x100v-film-simulation-recipe-color-negative-400,Color Negative 400,Classic Negative,0.77141726,-6.508266
pro-negative-160c-film-simulation-recipe-for-fujifilm-x-trans-iv-x-trans-v,PRO Negative 160C,PRO Neg,-11.807266,3.2181008
fujifilm-x-trans-iv-film-simulation-recipe-agfachrome-rs-100,AgfaChrome RS 100,Classic Negative,1.5480783,-6.1867375
fujifilm-x-pro3-x-trans-iv-film-simulation-recipe-agfa-ultra-100,Agfa Ultra 100,Classic Negative,0.74691194,-6.3485985
fujifilm-x100v-film-simulation-recipe-agfa-vista-100,Agfa Vista 100,Classic Negative,0.9172438,-5.37493
not-my-fujifilm-x100v-classic-negative-film-simulation-recipe,Classic Negative,Classic Negative,0.68018717,-5.7528777
snow-fun-with-fujifilm-x-t4-fujinon-90mm-new-film-simulation-recipe-amandas-classic-negative,Amanda’s Classic Negative,Classic Negative,1.0420505,-5.4891295
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold,Retro Gold,Classic Chrome,5.965197,6.65261
fujifilm-x-trans-iv-film-simulation-recipe-retro-gold-low-contrast,Retro Gold Low Contrast,Classic Chrome,5.8128147,6.7969556
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-santacolor,SantaColor,Eterna,-2.871937,7.627556
fujifilm-x-trans-iv-film-simulation-recipe-creamy-color,Creamy Color,Classic Negative,0.36459,-6.9135323
fujifilm-x100v-film-simulation-recipe-nature-neon,Nature Neon,Classic Chrome,6.338567,6.228947
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-grizzly-ride,Grizzly Ride,Eterna Bleach Bypass,18.217241,-6.4694023
fujifilm-x-e4-film-simulation-recipe-analog-gold,Analog Gold,Eterna Bleach Bypass,17.998451,-6.428035
getting-a-wes-anderson-look-from-your-fujifilm-camera-4-new-film-simulation-recipes,Indoor Angouleme,Classic Chrome,6.331008,6.664015
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-gaf-500,GAF 500,Eterna,-3.0127382,7.643388
fujifilm-x-trans-iv-film-simulation-recipe-low-key,Low Key,Classic Negative,1.1272852,-5.678963
fujifilm-x100v-film-simulation-recipe-the-rockwell-velvia,The Rockwell,Velvia,6.2845163,0.3620276
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-vibrant-velvia,Vibrant Velvia,Velvia,6.1939964,0.45220572
fujifilm-x100v-film-simulation-recipe-bleach-bypass,“Bleach Bypass”,Classic Negative,0.2300535,-6.334959
eterna-bleach-bypass-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Eterna Bleach Bypass,Eterna Bleach Bypass,17.902462,-6.1193914
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-muted-color,Muted Color,Eterna Bleach Bypass,17.844435,-6.2566013
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-ferrania-solaris-fg-400,Ferrania Solaris FG 400,Eterna Bleach Bypass,17.992975,-6.40875
fujifilm-x-trans-iv-film-simulation-recipe-lomochrome-metropolis,LomoChrome Metropolis,Eterna Bleach Bypass,17.95519,-6.234558
fujifilm-x-e4-x-trans-iv-film-simulation-recipe-silver-summer,Silver Summer,Eterna Bleach Bypass,17.956242,-6.376241
kodachrome-blue-fujifilm-x-e4-x-trans-iv-film-simulation-recipe,Kodachrome Blue,Eterna Bleach Bypass,18.069832,-6.0745707
fujifilm-x-e4-film-simulation-recipe-ektachrome-320t,Ektachrome 320T,Eterna Bleach Bypass,18.191,-6.175285
expired-ecn-2-100t-fujifilm-x-trans-iv-x-trans-v-film-simulation-recipe,Expired ECN-2 100T,Eterna Bleach Bypass,18.152433,-6.3023543
fujifilm-x100v-film-simulation-recipe-faded-negative,Faded Negative,Classic Negative,0.2450733,-6.540077
fujifilm-x-trans-iv-film-simulation-recipe-cinestill-50d,CineStill 50D,Astia,6.0825987,5.5931334
